rank,provider_product_id,provider_product_row_id,title,internal_name,description,observed_price,latest_observed_price,currency,orders,gross_revenue,revenue_share_pct,cumulative_revenue_share_pct,refund_count,refund_amount,first_transaction_at,last_transaction_at,first_seen_at,last_seen_at,current_status,integrity_status,mapping_version,mapping_decision_count,current_business_context_id,current_canonical_offer_id,current_offer_step_id,current_variant_id,unresolved_alert_open,unresolved_work_item_open,candidate_class,candidate_canonical_offer,candidate_offer_step,candidate_variant,evidence_strength,operator_action
"21","QAy00","9b389744-2777-58c4-96a2-018db19dd1d9","BRONZE Discounted","","","79","79","","155","12245","0.1189","99.1289","0","0","2026-06-05T00:15:02+00:00","2026-08-29T20:09:58+00:00","2026-08-23T02:05:11+00:00","2026-08-29T20:09:58+00:00","review_required","unmapped","unmapped-v1","0","","","","","true","true","C","","","","insufficient_no_authorized_canonical_targets","Create and authorize canonical catalog target, then make one explicit reviewed decision"
"22","1VyrV","52002306-9576-528e-8762-5c31368db732","RUBY","","","197","197","","60","11820","0.1148","99.2437","1","197","2026-07-22T20:03:39+00:00","2026-08-30T03:40:07+00:00","2026-08-17T15:57:09+00:00","2026-08-30T03:40:07+00:00","review_required","unmapped","unmapped-v1","0","","","","","true","true","C","","","","insufficient_no_authorized_canonical_targets","Create and authorize canonical catalog target, then make one explicit reviewed decision"
"23","7DGLy","026a5c65-3cdb-5e16-b69e-7e709b66c170","MYSTERY BOX Discounted","","","147","147","","75","11025","0.107","99.3507","1","147","2026-06-06T13:01:05+00:00","2026-08-29T19:46:29+00:00","2026-08-23T19:07:13+00:00","2026-08-29T19:46:29+00:00","review_required","unmapped","unmapped-v1","0","","","","","true","true","C","","","","insufficient_no_authorized_canonical_targets","Create and authorize canonical catalog target, then make one explicit reviewed decision"
"24","N1r82","584ba2db-574f-5be9-8066-559de2119ae6","Platinum","","","299","299","","32","9568","0.0929","99.4436","0","0","2026-08-15T04:50:18+00:00","2026-08-30T00:51:13+00:00","2026-08-23T03:02:21+00:00","2026-08-30T00:51:13+00:00","review_required","unmapped","unmapped-v1","0","","","","","true","true","C","","","","insufficient_no_authorized_canonical_targets","Create and authorize canonical catalog target, then make one explicit reviewed decision"
"25","Yr3l2","1279a29f-1c0f-524f-a23d-23d9400706c1","Super Affiliate - NU2","","","499","499","","14","6986","0.0678","99.5114","0","0","2026-08-15T04:51:52+00:00","2026-08-30T01:18:25+00:00","2026-08-22T22:43:17+00:00","2026-08-30T01:18:25+00:00","review_required","unmapped","unmapped-v1","0","","","","","true","true","C","","","","insufficient_no_authorized_canonical_targets","Create and authorize canonical catalog target, then make one explicit reviewed decision"
"26","5AD9K","7aeaeac7-7463-5c08-91d0-f2f0902938c7","Sapphire Discounted","","","75","75","","92","6900","0.067","99.5784","1","75","2026-06-06T13:00:48+00:00","2026-08-30T00:56:14+00:00","2026-08-22T20:34:16+00:00","2026-08-30T00:56:14+00:00","review_required","unmapped","unmapped-v1","0","","","","","true","true","C","","","","insufficient_no_authorized_canonical_targets","Create and authorize canonical catalog target, then make one explicit reviewed decision"
"27","pByXV","b8937495-2a5a-5494-954e-4213f0904e69","Gold Discounted 2 - NU2","","","97","97","","59","5723","0.0556","99.634","0","0","2026-07-30T22:36:48+00:00","2026-08-30T02:29:22+00:00","2026-08-23T12:21:07+00:00","2026-08-30T02:29:22+00:00","review_required","unmapped","unmapped-v1","0","","","","","true","true","C","","","","insufficient_no_authorized_canonical_targets","Create and authorize canonical catalog target, then make one explicit reviewed decision"
"28","y7LJn","3c294e83-2011-533e-8d27-33a1551433a2","Platinum Discounted 2 - NU2","","","99","99","","51","5049","0.049","99.683","0","0","2026-07-30T19:20:44+00:00","2026-08-30T03:57:33+00:00","2026-08-23T15:12:07+00:00","2026-08-30T03:57:33+00:00","review_required","unmapped","unmapped-v1","0","","","","","true","true","C","","","","insufficient_no_authorized_canonical_targets","Create and authorize canonical catalog target, then make one explicit reviewed decision"
"29","q6zw2","1dcf50c0-6449-52b2-ab5c-28c880a14948","Growth Partner Discounted - NU2","","","75","75","","57","4275","0.0415","99.7245","0","0","2026-07-29T18:39:37+00:00","2026-08-30T04:01:26+00:00","2026-08-22T17:02:41+00:00","2026-08-30T04:01:26+00:00","review_required","unmapped","unmapped-v1","0","","","","","true","true","C","","","","insufficient_no_authorized_canonical_targets","Create and authorize canonical catalog target, then make one explicit reviewed decision"
"30","rVWgL","db17ee55-baf7-5301-af7f-9ccaadbbd48f","Push Button System New 3","","","67","67","","45","3822","0.0371","99.7616","0","0","2026-08-05T21:45:56+00:00","2026-08-30T03:28:34+00:00","2026-08-23T15:16:01+00:00","2026-08-30T03:28:34+00:00","review_required","unmapped","unmapped-v1","0","","","","","true","true","C","","","","insufficient_no_authorized_canonical_targets","Create and authorize canonical catalog target, then make one explicit reviewed decision"
"31","lXrMM","8017d583-45de-5c6b-b92c-bdaf9e246ca6","Gold Discounted - NU2","","","197","197","","17","3349","0.0325","99.7942","0","0","2026-08-12T21:19:22+00:00","2026-08-29T06:31:36+00:00","2026-08-22T16:54:06+00:00","2026-08-29T06:31:36+00:00","review_required","unmapped","unmapped-v1","0","","","","","true","true","C","","","","insufficient_no_authorized_canonical_targets","Create and authorize canonical catalog target, then make one explicit reviewed decision"
"32","KE1Ox","7042bf87-d735-5145-a8c1-f6854fe13cc7","Push Button System New 4","","","67","67","","41","3156","0.0306","99.8248","1","67","2026-08-12T21:18:31+00:00","2026-08-28T15:45:50+00:00","2026-08-23T16:13:26+00:00","2026-08-28T15:45:50+00:00","review_required","unmapped","unmapped-v1","0","","","","","true","true","C","","","","insufficient_no_authorized_canonical_targets","Create and authorize canonical catalog target, then make one explicit reviewed decision"
"33","3ELOR","9fa187fa-3676-53e6-ad40-8c4aa7314818","Mystery Box - NU2","","","147","147","","21","3087","0.03","99.8548","0","0","2026-07-30T23:21:22+00:00","2026-08-30T00:58:05+00:00","2026-08-22T22:46:28+00:00","2026-08-30T00:58:05+00:00","review_required","unmapped","unmapped-v1","0","","","","","true","true","C","","","","insufficient_no_authorized_canonical_targets","Create and authorize canonical catalog target, then make one explicit reviewed decision"
"34","x8K7B","e65fbb9d-ac26-5863-9e81-d4fd6a2d1762","Platinum Discounted - NU2","","","199","199","","15","2985","0.029","99.8837","0","0","2026-07-29T18:39:18+00:00","2026-08-26T21:54:58+00:00","2026-08-22T16:57:53+00:00","2026-08-26T21:54:58+00:00","review_required","unmapped","unmapped-v1","0","","","","","true","true","C","","","","insufficient_no_authorized_canonical_targets","Create and authorize canonical catalog target, then make one explicit reviewed decision"
"35","0E1ML","d2854fc2-389d-58c4-b787-bce81b72087f","Push Button System","","","67","67","","27","2591","0.0252","99.9089","0","0","2026-07-30T19:20:09+00:00","2026-08-19T01:31:07+00:00","2026-08-19T01:31:07+00:00","2026-08-19T01:31:07+00:00","review_required","unmapped","unmapped-v1","0","","","","","true","true","C","","","","insufficient_no_authorized_canonical_targets","Create and authorize canonical catalog target, then make one explicit reviewed decision"
"36","1EJBm","839ba5e1-d269-5aab-bb68-c597b912f46e","Growth Partner - NU2","","","249","249","","8","1849","0.018","99.9269","0","0","2026-08-15T13:05:04+00:00","2026-08-29T22:07:21+00:00","2026-08-22T01:48:23+00:00","2026-08-29T22:07:21+00:00","review_required","unmapped","unmapped-v1","0","","","","","true","true","C","","","","insufficient_no_authorized_canonical_targets","Create and authorize canonical catalog target, then make one explicit reviewed decision"
"37","Gz3y7","f110a585-67db-502d-8da4-1c08fd6fa8d4","Mystery Box Discounted - NU2","","","47","47","","36","1692","0.0164","99.9433","0","0","2026-07-29T18:39:49+00:00","2026-08-30T02:48:41+00:00","2026-08-23T03:55:50+00:00","2026-08-30T02:48:41+00:00","review_required","unmapped","unmapped-v1","0","","","","","true","true","C","","","","insufficient_no_authorized_canonical_targets","Create and authorize canonical catalog target, then make one explicit reviewed decision"
"38","JEoZJ","15fcf759-e5c7-58ea-a6c2-8b6d17721cbe","GROWTH PARTNER Discounted","","","177","177","","6","1062","0.0103","99.9536","0","0","2026-06-06T13:00:02+00:00","2026-07-08T18:09:08+00:00","2026-07-08T18:09:08+00:00","2026-07-08T18:09:08+00:00","review_required","unmapped","unmapped-v1","0","","","","","true","true","C","","","","insufficient_no_authorized_canonical_targets","Create and authorize canonical catalog target, then make one explicit reviewed decision"
"39","N7Jr6","39fc52b2-b885-5c56-b677-bf2c5d4f2d1f","PBS $47","","","2","2","","20","949","0.0092","99.9628","3","141","2026-06-04T20:25:52+00:00","2026-07-08T18:08:47+00:00","2026-07-08T18:08:47+00:00","2026-07-08T18:08:47+00:00","review_required","unmapped","unmapped-v1","0","","","","","true","true","C","","","","insufficient_no_authorized_canonical_targets","Create and authorize canonical catalog target, then make one explicit reviewed decision"
"40","j5xMP","d334228e-7b97-58ca-b5a4-3117ce1c8187","Gold 1","","","297","297","","2","594","0.0058","99.9686","0","0","2026-08-15T17:09:59+00:00","2026-08-17T17:48:36+00:00","2026-08-17T17:48:36+00:00","2026-08-17T17:48:36+00:00","review_required","unmapped","unmapped-v1","0","","","","","true","true","C","","","","insufficient_no_authorized_canonical_targets","Create and authorize canonical catalog target, then make one explicit reviewed decision"
"41","Qj92Y","abb0394e-14ef-5192-8387-d4e1dd603694","Gold","","","297","297","","2","594","0.0058","99.9743","0","0","2026-07-29T10:48:35+00:00","2026-07-29T10:54:46+00:00","2026-07-29T10:54:46+00:00","2026-07-29T10:54:46+00:00","review_required","unmapped","unmapped-v1","0","","","","","true","true","C","","","","insufficient_no_authorized_canonical_targets","Create and authorize canonical catalog target, then make one explicit reviewed decision"
"42","6GgyV","696996c6-8876-5773-81eb-41e5a7b2b8fb","Gold Discounted 1","","","197","197","","2","394","0.0038","99.9782","0","0","2026-07-30T23:20:47+00:00","2026-08-15T20:25:39+00:00","2026-08-15T20:25:39+00:00","2026-08-15T20:25:39+00:00","review_required","unmapped","unmapped-v1","0","","","","","true","true","C","","","","insufficient_no_authorized_canonical_targets","Create and authorize canonical catalog target, then make one explicit reviewed decision"
"43","223r1","4e459ac0-31b5-507a-a2d9-a14e517de06d","Platinum 1","","","299","299","","1","299","0.0029","99.9811","0","0","2026-08-15T20:27:48+00:00","2026-08-15T20:27:48+00:00","2026-08-15T20:27:48+00:00","2026-08-15T20:27:48+00:00","review_required","unmapped","unmapped-v1","0","","","","","true","true","C","","","","insufficient_no_authorized_canonical_targets","Create and authorize canonical catalog target, then make one explicit reviewed decision"
